u,i,b,t
1000,3532002,0,1512228210
1000,3532002,0,1512228449
1000,2340930,1,1512229780
1000,2340930,0,1512230614
1000,3595165,0,1512261579
1000,3595165,0,1512261670
10008,2980794,2,1511567243
10008,1436235,2,1511567310
10008,281111,0,1511569298
10008,2949619,0,1511569585
10008,2638223,0,1511651452
10008,1695628,0,1511740770
10008,3659878,0,1511741018
10008,1695628,0,1511741023
10008,3659878,0,1511741034
10008,1695628,0,1511741043
10008,1695628,3,1511741533
10008,1436235,0,1511741681
10008,4691562,0,1511926769
10008,4225216,0,1512001389
10008,4691562,0,1512001524
10008,4225216,0,1512002157
10008,4691562,2,1512002250
10008,4225216,0,1512002352
10008,4691562,3,1512002442
10008,4691562,0,1512002920
10008,1263656,2,1512003569
10008,4708895,2,1512017550
10008,4385030,0,1512018054
10008,4385030,0,1512018070
10008,4317671,0,1512033047
10008,4702980,0,1512033449
10008,4317671,0,1512033458
10008,4702980,0,1512033507
10008,4380574,2,1512213332
10008,2628557,3,1512213509
10008,4380574,0,1512213567
10009,4057657,0,1511574025
10009,4092237,0,1511575468
10009,2879067,0,1511575591
10009,1946569,0,1511575608
10009,4415618,0,1511575640
10009,1334588,0,1511575997
10009,92191,0,1511576260
10009,4057657,0,1511578661
10009,4790721,0,1511579652
10009,444606,0,1511579693
10009,1420923,0,1511579706
10009,92191,0,1511579885
10009,3557403,0,1511580061
10009,4486458,0,1511580285
10009,4057657,0,1511582308
10009,3292567,0,1511584444
10009,4057657,0,1511609947
10009,3106015,0,1511610252
10009,4057657,0,1511610477
10009,3292567,0,1511610945
10009,3572273,0,1511611003
10009,4057657,0,1511611568
10009,1420923,0,1511611770
10009,4790721,0,1511611831
10009,1420923,0,1511611891
10009,4790721,0,1511611918
10009,3557403,0,1511611996
10009,4057657,0,1511616027
10009,4945859,2,1511621209
10009,1420923,0,1511621412
10009,4790721,0,1511621446
10009,4945859,0,1511621672
10009,4945859,0,1511660926
10009,4945859,3,1511663418
10009,37314,0,1511664595
10009,4945859,0,1511665285
10009,4496731,0,1511665486
10009,4945859,0,1511665559
10009,37314,3,1511667232
10009,4790721,0,1511667272
10009,37314,0,1511667304
10009,1420923,0,1511667389
10009,4790721,0,1511667417
10009,444606,0,1511667453
10009,4057657,0,1511671886
10009,37314,0,1511672293
10009,1946569,0,1511672877
10009,938062,0,1511673182
10009,4415618,0,1511673258
10009,3557403,0,1511681809
10009,4057657,0,1511685467
10009,1208869,0,1511685702
10009,4057657,0,1511685866
10009,4415618,0,1511712372
10009,3557403,0,1511713119
10009,1228703,0,1511713258
10009,3283696,0,1511713282
10009,4415618,0,1511713418
10009,2879067,0,1511713476
10009,4415618,0,1511713481
10009,3557403,0,1511716726
10009,4790721,0,1511716811
10009,1420923,0,1511716860
10009,4790721,0,1511717106
10009,1420923,0,1511717160
10009,4790721,0,1511717363
10009,1420923,0,1511717406
10009,4790721,0,1511717415
10009,1420923,0,1511717431
10009,1208869,0,1511756418
10009,1420923,0,1511756673
10009,4790721,0,1511756705
10009,444606,0,1511756774
10009,3557403,0,1511756787
10009,4092237,0,1511756900
10009,2557316,2,1511761646
10009,3557403,0,1511762625
10009,4486458,0,1511762646
10009,3475923,0,1511771018
10009,3475923,0,1511771525
10009,3557403,0,1511789600
10009,4792589,0,1511795378
10009,37314,0,1511796146
10009,2794153,0,1511796462
10009,37314,0,1511796665
10009,2794153,3,1511797357
10009,37314,3,1511797357
10009,3572273,0,1511797470
10009,30223,0,1511798265
10009,2557316,0,1511799849
10009,4415618,2,1511801511
10009,4792589,0,1511850267
10009,2283504,0,1511850374
10009,1208869,0,1511853004
10009,260779,0,1511853258
10009,2810154,0,1511853339
10009,4486458,0,1511854499
10009,5119588,0,1511855184
10009,3216740,0,1511855392
10009,5119588,0,1511855582
10009,3216740,0,1511855600
10009,5119588,0,1511855608
10009,89359,0,1511855786
10009,657539,0,1511855897
10009,2283504,0,1511870493
10009,4415618,0,1511873100
10009,1420923,0,1511877584
10009,2283504,0,1511877847
10009,3557403,0,1511884438
10009,444606,0,1511885103
10009,1420923,0,1511889731
10009,4790721,0,1511889753
10009,444606,0,1511889960
10009,2622294,0,1511890034
10009,4415618,0,1511890335
10009,2184170,0,1511890973
10009,444606,0,1511891270
10009,2622294,0,1511919825
10009,1420923,0,1511919894
10009,4790721,0,1511919911
10009,2184170,0,1511920098
10009,4092237,0,1511922242
10009,2283504,0,1511924293
10009,4057657,0,1511924568
10009,2622294,0,1511924800
10009,4415618,0,1511924830
10009,1802826,0,1511925115
10009,849843,0,1511925243
10009,2622294,0,1511925617
10009,37314,0,1511927696
10009,1415565,0,1511929519
10009,1937939,0,1511929613
10009,1415565,0,1511929841
10009,274796,0,1511930348
10009,3194548,0,1511930436
10009,274796,0,1511930535
10009,3194548,0,1511930539
10009,274796,0,1511930550
10009,3194548,0,1511935688
10009,2622294,0,1511936149
10009,978999,0,1511936235
10009,3940016,0,1511936299
10009,978999,0,1511936307
10009,3940016,0,1511936315
10009,978999,0,1511936351
10009,2128740,0,1511936730
10009,3194548,0,1511937576
10009,5043009,0,1511939349
10009,5043009,0,1511939657
10009,1944561,0,1511939904
10009,1944561,2,1511941716
10009,1415565,3,1511966610
10009,1944561,0,1511968064
10009,1702685,0,1511969093
10009,983972,0,1511969171
10009,4790721,0,1511969677
10009,1420923,0,1511969705
10009,4790721,0,1511969747
10009,1420923,0,1511969770
10009,2833082,2,1511969998
10009,2121641,2,1511970260
10009,983972,0,1511970413
10009,2121641,0,1511970627
10009,983972,0,1511970638
10009,444606,0,1511970651
10009,983972,0,1511970658
10009,1266437,2,1511970912
10009,3924907,0,1511971395
10009,1228703,0,1511972681
10009,1688891,2,1511972893
10009,2810154,0,1511972907
10009,4945859,0,1512004336
10009,1415565,0,1512011645
10009,3884741,0,1512011994
10009,1415565,0,1512012064
10009,1415565,0,1512012211
10009,1937939,0,1512012232
10009,1415565,0,1512012868
10009,37314,0,1512020549
10009,2794153,0,1512020881
10009,37314,0,1512020949
10009,4945859,0,1512021302
10009,3106015,0,1512021493
10009,4792589,0,1512021628
10009,1688891,0,1512021988
10009,4945859,0,1512022212
10009,1415565,0,1512022508
10009,1937939,0,1512022658
10009,1415565,0,1512023341
10009,1937939,0,1512023688
10009,1415565,0,1512023731
10009,1937939,0,1512023736
10009,1415565,0,1512023738
10009,1937939,0,1512023841
10009,1415565,0,1512023848
10009,1937939,0,1512023851
10009,1937939,0,1512023860
10009,3557403,0,1512023989
10009,1415565,0,1512038904
10009,3557403,0,1512050937
10009,2121641,0,1512054404
10009,2121641,0,1512054817
10009,2121641,0,1512055016
10009,2949619,0,1512055939
10009,4564086,0,1512056009
10009,447009,0,1512056129
10009,2121641,0,1512056175
10009,260779,0,1512096214
10009,37314,0,1512096383
10009,260779,0,1512096442
10009,2121641,0,1512096541
10009,1266437,0,1512096807
10009,2833082,0,1512096822
10009,1944561,0,1512096994
10009,2121641,0,1512097264
10009,1420923,0,1512097977
10009,4790721,0,1512098013
10009,444606,0,1512098057
10009,3557403,0,1512098094
10009,1266437,0,1512098159
10009,2833082,0,1512098174
10009,4496731,0,1512098267
10009,4092237,0,1512098429
10009,2076185,0,1512098446
10009,4415618,0,1512098836
10009,1420923,0,1512111517
10009,4790721,0,1512111537
10009,1420923,0,1512122151
10009,4790721,0,1512122159
10009,3557403,0,1512122235
10009,2121641,0,1512122527
10009,3656511,0,1512122903
10009,3557403,0,1512139660
10009,1420923,0,1512202832
10009,444606,0,1512202925
10009,3557403,0,1512202965
10009,3867650,2,1512203710
10009,3615676,3,1512205117
10009,4092237,0,1512209614
10009,1113543,0,1512210121
10009,2697795,0,1512210200
10009,2076185,0,1512210482
10009,1450416,0,1512210506
10009,3615676,0,1512211607
10009,3884741,0,1512211735
10009,3615676,0,1512211771
10009,1228703,0,1512214611
10009,3557403,3,1512266493
10009,1420923,0,1512287301
10009,4790721,0,1512287339
10009,1334588,0,1512287372
10009,92191,0,1512287751
10009,4676019,0,1512292563
10009,4676019,0,1512308016
10009,4676019,3,1512309174
10009,1228703,0,1512309379
10009,3867650,0,1512310436
10013,1749569,1,1511612615
10013,4618158,1,1511612717
10013,1282510,1,1511612765
10013,3187519,1,1511612857
10013,4328785,0,1511612882
10013,2101743,0,1511612908
10013,4618158,0,1511613545
10013,3187519,0,1511613568
10013,3651971,0,1511613699
10013,110258,1,1511613801
10013,1721233,0,1511661347
10013,1721233,0,1511680796
10013,3187519,0,1511687571
10013,4533038,0,1511696399
10013,133484,0,1511697368
10013,2799875,1,1511697417
10013,1282510,0,1511752701
10013,1721233,0,1511753316
10013,4562580,1,1511753392
10013,4562580,0,1511753443
10013,1721233,0,1511756571
10013,3376413,0,1511756948
10013,2799875,0,1511762287
10013,4508458,0,1511766385
10013,2321202,0,1511766493
10013,1721233,0,1511779853
10013,1282510,0,1511781053
10013,2799875,0,1511781164
10013,4508458,0,1511781972
10013,1330377,0,1511787350
10013,1330377,0,1511787443
10013,1143624,0,1511788552
10013,1330052,0,1511795352
10013,110258,0,1511876261
10013,3187519,0,1511876278
10013,1282510,0,1511876287
10013,3651971,0,1511876580
10013,172999,0,1511876627
10013,318827,0,1511879346
10013,318827,1,1511879495
10013,316499,1,1511879732
10013,316499,0,1511879769
10013,4112623,0,1511880105
10013,1721233,0,1511946736
10013,2799875,0,1512010261
10013,2663120,0,1512011346
10013,3187519,0,1512011623
10013,1749569,0,1512011633
10013,1721233,0,1512011715
10013,316499,0,1512040227
10013,110258,0,1512040490
10013,110154,0,1512040532
10013,1330052,0,1512214215
10013,1102537,0,1512216133
10013,2299743,0,1512216215
10013,942370,0,1512216252
10013,942370,0,1512216351
10013,316499,0,1512216531
10013,1791882,1,1512217084
10013,1791882,0,1512217338
10013,2799875,0,1512217348
10013,3427154,0,1512217652
10013,4328785,0,1512217796
10013,2598281,0,1512217823
10013,1721233,0,1512218194
10013,2321202,0,1512218213
10013,730054,0,1512218219
10013,5128303,0,1512218347
10013,4448187,0,1512218368
10013,3965166,0,1512218416
10013,1742930,0,1512218426
10013,960636,0,1512218441
10013,3343512,1,1512218488
10013,2546945,0,1512218524
10013,3343512,0,1512218541
10013,2546945,0,1512218590
10013,1696829,1,1512218685
10013,765657,0,1512218781
10013,3072867,0,1512218790
10013,2099112,0,1512218890
10013,3169628,0,1512218931
10013,526884,0,1512219758
10013,2452795,0,1512219767
10013,577074,0,1512219965
10013,406143,1,1512219987
10013,3890587,0,1512220238
10013,2364873,0,1512220583
10013,1356804,0,1512220740
10013,2099112,1,1512260190
10013,2389427,0,1512260698
10013,547521,0,1512279890
10013,3981110,0,1512280203
10013,2362630,1,1512280360
10013,3981110,0,1512280460
10013,547521,0,1512280674
10013,4897925,0,1512281164
10013,4897925,0,1512281282
10013,1801091,0,1512282408
10013,1801091,0,1512282466
10013,107921,0,1512286410
10013,1515583,0,1512286416
10013,4525461,0,1512287021
10013,2575122,1,1512287080
10013,3071581,0,1512287106
10013,585565,1,1512287132
10013,3223854,0,1512287161
10013,414334,0,1512287213
10013,3223854,0,1512287425
10013,4067974,1,1512287671
10013,3936019,1,1512287842
10013,3936019,0,1512288181
10013,2362630,0,1512303374
10013,4562580,0,1512308666
10013,3187519,0,1512308686
10013,1427653,0,1512308804
10013,2237791,0,1512308849
10013,649133,0,1512308895
10013,812774,0,1512308919
10013,491523,0,1512308962
10013,709514,0,1512309025
10013,1935063,0,1512309042
10013,1695342,1,1512309069
10013,4373507,0,1512309097
10013,2364873,0,1512309160
10013,3890587,0,1512309180
10013,358776,0,1512309203
10013,812774,0,1512309261
10013,1935063,0,1512309268
10013,2351024,0,1512309338
10013,1671895,0,1512309361
10013,2351024,0,1512309376
10013,1427653,0,1512309409
10013,1935017,0,1512309472
10013,2867686,0,1512309559
10020,4452639,2,1511686656
10020,4812137,0,1511742139
10020,4373507,0,1511744461
10020,4812137,0,1511744595
10020,863731,3,1511795838
10020,4178369,2,1511837970
10020,863731,0,1511853331
10020,4452639,0,1512033202
10020,2136342,0,1512112686
10020,2704178,0,1512113984
10020,4452639,0,1512132873
10020,4178369,0,1512173153
10020,3003631,0,1512185356
10020,3003631,0,1512185433
10020,4452639,0,1512192786
10020,4178369,0,1512201213
10020,4452639,0,1512204331
10020,2704178,0,1512205034
10020,980099,0,1512205079
10020,1638128,0,1512205142
10020,3853076,0,1512217662
10020,3942769,0,1512217694
10020,1793088,0,1512217721
10020,24970,0,1512219767
10020,24970,0,1512219847
10020,4452639,0,1512267918
10021,200985,0,1511567241
10021,2510835,0,1511567524
10021,2510835,0,1511567760
10021,2987991,0,1511686755
10021,2510835,0,1511755606
10021,3406877,0,1511825698
10021,1624404,0,1511826046
10021,2510835,0,1511934358
10021,3012467,0,1511934710
10021,1164931,0,1511934856
10021,267531,0,1511934945
10021,4306198,2,1511935231
10021,1016868,0,1511935268
10021,2787831,0,1511935509
10021,4371199,2,1511935820
10021,3088926,0,1511936070
10021,3941546,0,1511939252
10021,4460461,0,1511955049
10021,4657190,0,1511955643
10021,518766,0,1511956854
10021,3172411,0,1511957042
10021,3524200,0,1511957200
10021,1535294,2,1511957364
10021,1819353,0,1511957605
10021,2510835,2,1511991153
10021,2815020,2,1511991873
10021,3406877,0,1511991996
10021,3563468,0,1511992186
10021,3160803,0,1511992217
10021,3201805,2,1511992484
10021,3830970,0,1511992541
10021,3830970,0,1511994073
10021,3201805,0,1511994220
10021,2510835,0,1512083339
10021,4746298,2,1512084607
10021,4746298,0,1512084741
10021,4306198,0,1512084973
10021,3406877,0,1512085116
10021,1542296,0,1512085224
10021,1202076,0,1512085722
10021,3941546,0,1512101157
10021,3201805,3,1512101357
10021,4746298,0,1512130525
10021,669757,0,1512130613
10021,669757,0,1512130727
10021,1717960,0,1512131163
10021,29181,0,1512131196
10021,565426,2,1512131310
10021,565426,0,1512131528
10021,3244387,0,1512131590
10021,1593099,2,1512131996
10021,1968956,2,1512133158
10021,1968956,0,1512133379
10021,3472890,0,1512151960
10021,48995,0,1512152183
10021,1593099,0,1512153143
10021,1487430,0,1512153521
10021,4954301,0,1512153754
10021,4501303,0,1512153914
10021,2575171,0,1512153928
10021,4501303,0,1512153936
10021,2575171,0,1512154004
10021,4501303,0,1512154197
10021,4084128,0,1512154311
10021,3472890,0,1512154538
10021,2510835,0,1512170925
10021,3406877,0,1512218349
10021,1890120,0,1512218395
10021,694221,0,1512218603
10021,1984239,0,1512235026
10021,1984239,0,1512235151
10021,1579005,0,1512235300
10021,808112,2,1512236674
10021,860684,0,1512236853
10021,4985213,0,1512237122
10024,1361836,2,1511607863
10024,4053608,0,1511607896
10024,3073460,2,1511607958
10024,64810,0,1511608070
10024,4850478,0,1511687964
10024,4425792,0,1511688077
10024,2830747,0,1511696930
10024,2695269,0,1511697088
10024,4850478,0,1511702645
10024,569880,0,1511702664
10024,4003474,0,1511822792
10024,2830747,0,1511871066
10024,2131510,0,1511872093
10024,3676378,0,1511872227
10024,1881962,0,1511872348
10024,769589,0,1511934749
10024,1541408,0,1511934766
10024,956343,0,1511934778
10024,1050223,0,1511934935
10024,1361836,0,1511934962
10024,3215541,0,1511935108
10024,4053608,1,1511935151
10024,3233904,3,1511959390
10024,2606999,0,1511960986
10024,2131510,0,1511961001
10024,2606999,0,1511961030
10024,3233904,0,1512001094
10024,4685098,1,1512009807
10024,4685098,3,1512047271
10024,814537,0,1512048780
10024,1981648,0,1512049633
10024,3052455,0,1512125135
10024,1606853,0,1512125192
10024,3052455,3,1512125214
10024,1660891,0,1512127776
10024,1689733,0,1512140296
10024,1212679,0,1512140668
10024,2487690,0,1512140805
10024,1212679,0,1512140937
10024,1689733,0,1512140940
10024,1212679,3,1512140942
10024,2487690,0,1512169148
10024,1476488,0,1512187151
10024,4383014,0,1512187206
10024,1476488,0,1512187276
10024,4383014,0,1512187276
10024,3902826,0,1512215119
10024,1660891,3,1512215401
10024,3172411,0,1512219164
10024,3215541,0,1512219276
10024,684017,0,1512219546
10024,600756,0,1512219950
10024,2109882,0,1512224306
10024,2443536,0,1512264260
10024,2632773,0,1512266997
10024,2359306,0,1512268669
10024,1452811,0,1512269682
10024,1344159,0,1512297023
10024,2632773,0,1512297046
10024,1344159,0,1512297119
10024,2632773,0,1512297125
10024,1344159,0,1512297246
10024,2632773,0,1512297259
10024,1452811,0,1512298447
10024,2359306,0,1512299779
10024,4884619,0,1512304172
10024,4682949,0,1512304510
10024,4682949,0,1512304818
10027,3749264,0,1511569894
10027,1904046,1,1511571918
10027,3170073,0,1511574907
10027,1904046,0,1511575905
10027,3170073,0,1511580269
10027,3863726,0,1511580318
10027,1483011,0,1511580381
10027,4880821,0,1511580424
10027,5159405,0,1511580451
10027,4615180,0,1511580483
10027,16997,0,1511600541
10027,1904046,3,1511676076
10027,416587,0,1511706605
10027,416587,0,1511706952
10027,3749264,0,1511707022
10027,3749264,0,1511707122
10027,210528,0,1511707535
10027,210528,0,1511707601
10027,46484,0,1511764478
10027,586879,0,1511764593
10027,376658,0,1512086995
10027,3682988,0,1512088934
10027,376658,0,1512089036
10027,376658,0,1512089077
10027,376658,0,1512089520
10027,3682988,0,1512089530
10027,376658,0,1512089564
10027,3772123,0,1512089772
10027,376658,3,1512090099
10027,2535333,0,1512131667
10027,2530033,0,1512131863
10027,200003,0,1512131876
10027,3863726,0,1512132140
10027,586879,0,1512132455
10027,1904046,0,1512180831
10027,5035653,0,1512181557
10027,5035653,0,1512181812
10027,376658,0,1512215281
10027,3065508,2,1512215461
10027,5159405,0,1512288057
10027,4615180,0,1512288084
10027,1483011,0,1512288372
10027,4061090,0,1512289393
10027,758335,0,1512289402
10027,4061090,0,1512289424
10027,758335,0,1512289445
10027,5159405,0,1512289448
10027,758335,0,1512289498
10027,2470507,0,1512289634
10027,3283696,0,1512289775
10027,4880821,0,1512289827
10027,1700272,0,1512289973
10027,3205656,0,1512290711
10027,3205656,0,1512290817
10027,5159405,0,1512290941
10027,3205656,0,1512291009
10027,1830270,0,1512291049
10027,3205656,2,1512291087
10034,2005063,0,1511578089
10034,1079003,0,1511578179
10034,4213669,0,1511578368
10034,4866190,0,1511578415
10034,1079003,3,1511578605
10034,2775550,0,1511579394
10034,3933544,0,1511587937
10034,1573904,0,1511597967
10034,2132850,2,1511598173
10034,1355085,0,1511598203
10034,83204,0,1511598243
10034,83204,0,1511598310
10034,1355085,0,1511598322
10034,2212646,0,1511600357
10034,4265788,0,1511600781
10034,2212646,2,1511600797
10034,860453,0,1511600948
10034,419265,0,1511601163
10034,2558008,0,1511601242
10034,2212646,0,1511601990
10034,5016273,0,1511602203
10034,4218844,0,1511602338
10034,984477,0,1511602519
10034,714906,0,1511603451
10034,4126091,0,1511603475
10034,3015666,0,1511603507
10034,1191001,2,1511610374
10034,1785363,0,1511610464
10034,1079003,0,1511683497
10034,4708590,0,1511693076
10034,4708590,0,1511693196
10034,2212646,0,1511704432
10034,2212646,0,1511704498
10034,2212646,0,1511704523
10034,2132850,0,1511704733
10034,2212646,0,1511704943
10034,3730350,0,1511704984
10034,1573904,0,1511705885
10034,2132850,0,1511707294
10034,2212646,3,1511707687
10034,2132850,3,1511707687
10034,1785363,0,1511763243
10034,1191001,0,1511763265
10034,2770861,0,1511763281
10034,1685810,0,1511834106
10034,1598103,0,1511834165
10034,5157776,0,1511835506
10034,1613165,0,1511869353
10034,4265788,0,1511874577
10034,860453,0,1511874677
10034,3389952,0,1511938379
10034,2558008,0,1511939281
10034,1739204,0,1511963234
10034,2609085,0,1511963273
10034,3389952,0,1511963298
10034,1079199,0,1511963348
10034,3532887,0,1511964728
10034,3520762,0,1512017403
10034,3520762,0,1512017427
10034,2186401,0,1512034408
10034,4218844,0,1512086570
10034,2186401,0,1512216133
10034,830861,0,1512294810
10034,2736714,2,1512294826
10034,830861,0,1512294886
10034,2736714,0,1512294952
10034,3738819,0,1512295004
10034,2736714,0,1512295013
10034,3738819,0,1512295088
10034,2736714,0,1512295090
10034,4637704,0,1512295132
10034,2736714,0,1512295231
10034,830861,2,1512295241
10034,2736714,0,1512295372
10034,2096661,0,1512295444
10034,2736714,0,1512295452
10034,2096661,2,1512295456
10034,2736714,0,1512295499
10034,2096661,0,1512295509
10034,2736714,0,1512295536
10034,2096661,0,1512295538
10034,2736714,0,1512295574
10034,2096661,0,1512295576
10034,2736714,0,1512295664
10034,2096661,0,1512295706
10034,2736714,0,1512295729
10034,830861,0,1512295936
10034,2484912,0,1512296070
10034,2484912,0,1512296092
10034,2736714,3,1512303517
10034,4196577,0,1512304273
10034,5157776,0,1512304751
10034,1079199,0,1512304788
10034,1928591,0,1512305012
10034,256871,0,1512305699
10034,581548,0,1512305760
10034,2484493,0,1512305884
10034,1380297,0,1512305944
10034,2484493,0,1512306069
10034,1380297,0,1512306094
10034,256871,0,1512306099
10034,581548,0,1512306116
10035,1402039,0,1511579532
10035,4549488,1,1511579718
10035,2671777,0,1511586446
10035,2737426,0,1511587540
10035,2737426,0,1511587580
10035,2671777,2,1511606566
10035,2586239,0,1511606832
10035,4768152,0,1511610107
10035,5079599,0,1511615374
10035,5079599,0,1511615930
10035,4603364,0,1511615985
10035,5079599,0,1511616007
10035,4603364,0,1511616027
10035,2603207,1,1511616247
10035,3686323,0,1511616269
10035,2603207,0,1511616324
10035,5079599,0,1511616487
10035,5079599,0,1511616567
10035,4603364,0,1511616574
10035,5079599,0,1511616578
10035,2603207,0,1511616619
10035,2508148,0,1511644226
10035,135380,0,1511644244
10035,2508148,0,1511644298
10035,5043429,0,1511644396
10035,135380,0,1511644429
10035,5006577,0,1511644723
10035,2586239,0,1511682113
10035,3512021,0,1511696486
10035,1232750,0,1511697092
10035,2978115,0,1511697139
10035,1282638,0,1511697233
10035,1282638,0,1511697417
10035,3512021,0,1511698103
10035,3641558,0,1511698571
10035,1265317,0,1511698581
10035,3641558,0,1511698601
10035,1265317,0,1511698646
10035,3641558,0,1511699035
10035,1265317,3,1511699654
10035,3641558,3,1511699654
10035,1263944,0,1511751134
10035,3641558,0,1511752116
10035,2837682,1,1511768633
10035,2837682,0,1511768750
10035,1411569,0,1511769076
10035,1411569,0,1511769786
10035,4768152,0,1511778866
10035,705557,0,1511790359
10035,2790543,0,1511790436
10035,1562036,0,1511790545
10035,4352300,0,1511790713
10035,1562036,0,1511790761
10035,2790543,0,1511790909
10035,1562036,0,1511791031
10035,3911797,0,1511793782
10035,1562036,0,1511793820
10035,3911797,0,1511793922
10035,1210862,0,1511794090
10035,1210862,0,1511794202
10035,1562036,3,1511794271
10035,4726624,1,1511841288
10035,4726624,0,1511843995
10035,894962,1,1511844153
10035,4726624,0,1511844155
10035,894962,0,1511850091
10035,4004687,0,1511850180
10035,4726624,0,1511850236
10035,890734,0,1511850325
10035,894962,0,1511850373
10035,4768152,0,1511854168
10035,1562036,0,1511879674
10035,3667432,0,1511890180
10035,3667432,0,1511890302
10035,1561186,1,1511891019
10035,1561186,0,1511891206
10035,2149397,0,1511891266
10035,418227,0,1511891379
10035,4768152,0,1511891490
10035,1982258,1,1512202315
10035,1982258,0,1512202325
10035,1982258,0,1512202390
10035,894962,0,1512202646
10035,890734,0,1512202662
10035,1982258,0,1512202838
10035,4441542,1,1512202986
10035,1982258,0,1512202991
10035,4441542,0,1512203006
10035,1982258,0,1512203021
10035,4622104,1,1512203162
10035,1982258,0,1512203164
10035,1586241,1,1512286252
100002,5038146,0,1511610824
100002,4402663,0,1511610854
100002,2962064,0,1511610895
100002,5038146,0,1511611712
100002,1818697,0,1511613230
100002,4334235,0,1511673823
100002,4334235,0,1511673826
100002,4334235,0,1511673898
100002,5038146,0,1511704878
100002,324802,0,1511705000
100002,332222,0,1511706771
100002,332222,0,1511706850
100002,1585267,0,1511839570
100002,1585267,0,1511840025
100002,2968522,0,1511846926
100002,1585267,0,1511847012
100002,2968522,1,1511847622
100002,1585267,0,1511847624
100002,2452885,1,1511854685
100002,1585267,0,1511861332
100002,2452885,0,1511861477
100002,1585267,0,1511861485
100002,2452885,0,1511861880
100002,2968522,0,1511862934
100002,2452885,0,1511864359
100002,2452885,0,1511866043
100002,2500376,0,1511869129
100002,2452885,0,1511869436
100002,4417361,0,1511871727
100002,2452885,0,1511872476
100002,4928571,1,1511873602
100002,2452885,0,1511873605
100002,2452885,0,1511877582
100002,4417361,0,1511878327
100002,2928801,0,1511936087
100002,4046253,1,1511943971
100002,2667139,0,1512002584
100002,2393145,0,1512019015
100002,2976687,1,1512019800
100002,2393145,0,1512019819
100002,2976687,0,1512040766
100002,2976687,3,1512043690
100002,4928571,0,1512046188
100002,2976687,0,1512047583
100002,2976687,0,1512051436
100002,437789,0,1512055033
100002,4046253,0,1512055694
100002,437789,0,1512088975
100002,2279428,0,1512118233
100002,2667139,0,1512131957
100002,2660418,0,1512212875
100002,3532599,0,1512271509
100002,3532599,0,1512272051
100002,4046253,0,1512291287
100002,2452885,0,1512291555
100002,2928801,0,1512294688
100009,450942,0,1511925304
100009,3635967,0,1511925381
100009,3944615,0,1511925526
100009,898035,0,1511925545
100009,898035,0,1511932354
100009,450942,0,1511932429
100009,3635967,0,1511932514
100009,3944615,0,1512177544
100009,1329654,0,1512178226
100009,1329654,3,1512178763
100009,3944615,0,1512205626
